Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
Ale kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;454;
Alingsås kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;573;
Alvesta kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;647;
Aneby kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;599;
Arboga kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;569;
Arjeplog kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;369;
Arvidsjaur kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;504;
Arvika kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;745;
Askersund kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;880;
Avesta kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;921;
Bengtsfors kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;841;
Berg kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;632;
Bjurholm kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;837;
Bjuv kommun;;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1047;
Boden kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;896;
Bollebygd kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;460;
Bollnäs kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;851;
Borgholm kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;874;
Borlänge kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1007;
Borås kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;909;
Botkyrka kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1129;
Boxholm kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;420;
Bromölla kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;842;
Bräcke kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;581;
Burlöv kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1232;
Båstad kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;471;
Dals-Ed kommun;;
3-7 kap. Brott mot person;..;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
3 kap. Brott mot liv och hälsa;482;
Danderyd kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;452;
Degerfors kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;647;
Dorotea kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;201;
Eda kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;740;
Ekerö kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;552;
Eksjö kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1039;
Emmaboda kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;941;
Enköping kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;910;
Eskilstuna kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1152;
Eslöv kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1013;
Essunga kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;457;
Fagersta kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;880;
Falkenberg kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;619;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
Falköping kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;829;
Falun kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;642;
Filipstad kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1098;
Finspång kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;810;
Flen kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;1269;
Forshaga kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;797;
Färgelanda kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;710;
Gagnef kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;565;
Gislaved kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;784;
Gnesta kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;778;
Gnosjö kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;688;
Gotland kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;748;
Grums kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;673;
Grästorp kommun;;
Anmälda brott;Brottsförebyggande rådet
;År;
;2021;
;/100&nbsp;000&nbsp;inv;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;542;
Gullspång kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;961;
Gällivare kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;876;
Gävle kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;920;
Göteborg kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;874;
Götene kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;567;
Habo kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;481;
Hagfors kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;694;
Hallsberg kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;652;
Hallstahammar kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;794;
Halmstad kommun;;
3-7 kap. Brott mot person;..;
3 kap. Brott mot liv och hälsa;905;
Hammarö kommun;;
